gs_cat,gs_subcat,gs_name,gene_symbol,entrez_gene,ensembl_gene,human_gene_symbol,human_entrez_gene,human_ensembl_gene,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,taxon_id,ortholog_sources,num_ortholog_sources
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Itgb3,16416,ENSMUSG00000020689,ITGB3,3690,ENSG00000259207,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,10
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Jun,16476,ENSMUSG00000052684,JUN,3725,ENSG00000177606,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Lepr,16847,ENSMUSG00000057722,LEPR,3953,ENSG00000116678,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Ltb,16994,ENSMUSG00000024399,LTB,4050,ENSG00000227507,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Ltbr,17000,ENSMUSG00000030339,LTBR,4055,ENSG00000111321,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Map3k8,26410,ENSMUSG00000024235,MAP3K8,1326,ENSG00000107968,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,11
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Myd88,17874,ENSMUSG00000032508,MYD88,4615,ENSG00000172936,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Osmr,18414,ENSMUSG00000022146,OSMR,9180,ENSG00000145623,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Pdgfc,54635,ENSMUSG00000028019,PDGFC,56034,ENSG00000145431,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Pf4,56744,ENSMUSG00000029373,PF4,5196,ENSG00000163737,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,10
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Pik3r5,320207,ENSMUSG00000020901,PIK3R5,23533,ENSG00000141506,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Pim1,18712,ENSMUSG00000024014,PIM1,5292,ENSG00000137193,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Pla2g2a,18780,ENSMUSG00000058908,PLA2G2A,5320,ENSG00000188257,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,Ensembl|HGNC|Inparanoid|NCBI|OMA|Panther,6
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Ptpn1,19246,ENSMUSG00000027540,PTPN1,5770,ENSG00000196396,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Ptpn11,19247,ENSMUSG00000043733,PTPN11,5781,ENSG00000179295,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Ptpn2,19255,ENSMUSG00000024539,PTPN2,5771,ENSG00000175354,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Reg1,19692,ENSMUSG00000059654,REG1A,5967,ENSG00000115386,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,8
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Socs1,12703,ENSMUSG00000038037,SOCS1,8651,ENSG00000185338,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Socs3,12702,ENSMUSG00000053113,SOCS3,9021,ENSG00000184557,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Stam2,56324,ENSMUSG00000055371,STAM2,10254,ENSG00000115145,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Stat1,20846,ENSMUSG00000026104,STAT1,6772,ENSG00000115415,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Stat2,20847,ENSMUSG00000040033,STAT2,6773,ENSG00000170581,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Stat3,20848,ENSMUSG00000004040,STAT3,6774,ENSG00000168610,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tgfb1,21803,ENSMUSG00000002603,TGFB1,7040,ENSG00000105329,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tlr2,24088,ENSMUSG00000027995,TLR2,7097,ENSG00000137462,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tnf,21926,ENSMUSG00000024401,TNF,7124,ENSG00000232810,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tnfrsf12a,27279,ENSMUSG00000023905,TNFRSF12A,51330,ENSG00000006327,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam,10
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tnfrsf1a,21937,ENSMUSG00000030341,TNFRSF1A,7132,ENSG00000067182,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tnfrsf1b,21938,ENSMUSG00000028599,TNFRSF1B,7133,ENSG00000028137,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tnfrsf21,94185,ENSMUSG00000023915,TNFRSF21,27242,ENSG00000146072,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_IL6_JAK_STAT3_SIGNALING,Tyk2,54721,ENSMUSG00000032175,TYK2,7297,ENSG00000105397,M5897,"","","","","Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.",10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Abca1,11303,ENSMUSG00000015243,ABCA1,19,ENSG00000165029,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Abi1,11308,ENSMUSG00000058835,ABI1,10006,ENSG00000136754,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Acvr1b,11479,ENSMUSG00000000532,ACVR1B,91,ENSG00000135503,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Acvr2a,11480,ENSMUSG00000052155,ACVR2A,92,ENSG00000121989,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Adgre1,13733,ENSMUSG00000004730,ADGRE1,2015,ENSG00000174837,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Adm,11535,ENSMUSG00000030790,ADM,133,ENSG00000148926,M5932,"","","","",Genes defining inflammatory response.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,10
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Adora2b,11541,ENSMUSG00000018500,ADORA2B,136,ENSG00000170425,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Adrm1,56436,ENSMUSG00000039041,ADRM1,11047,ENSG00000130706,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ahr,11622,ENSMUSG00000019256,AHR,196,ENSG00000106546,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Aplnr,23796,ENSMUSG00000044338,APLNR,187,ENSG00000134817,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Aqp9,64008,ENSMUSG00000032204,AQP9,366,ENSG00000103569,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Atp2a2,11938,ENSMUSG00000029467,ATP2A2,488,ENSG00000174437,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Atp2b1,67972,ENSMUSG00000019943,ATP2B1,490,ENSG00000070961,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Atp2c1,235574,ENSMUSG00000032570,ATP2C1,27032,ENSG00000017260,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther,10
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Axl,26362,ENSMUSG00000002602,AXL,558,ENSG00000167601,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Bdkrb1,12061,ENSMUSG00000041347,BDKRB1,623,ENSG00000100739,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Best1,24115,ENSMUSG00000037418,BEST1,7439,ENSG00000167995,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Bst2,69550,ENSMUSG00000046718,BST2,684,ENSG00000130303,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Btg2,12227,ENSMUSG00000020423,BTG2,7832,ENSG00000159388,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,C3ar1,12267,ENSMUSG00000040552,C3AR1,719,ENSG00000171860,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,C5ar1,12273,ENSMUSG00000049130,C5AR1,728,ENSG00000197405,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Calcrl,54598,ENSMUSG00000059588,CALCRL,10203,ENSG00000064989,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl17,20295,ENSMUSG00000031780,CCL17,6361,ENSG00000102970,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl2,20296,ENSMUSG00000035385,CCL2,6347,ENSG00000108691,M5932,"","","","",Genes defining inflammatory response.,10090,Ensembl|HGNC|NCBI|OrthoDB|Panther,5
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl20,20297,ENSMUSG00000026166,CCL20,6364,ENSG00000115009,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl22,20299,ENSMUSG00000031779,CCL22,6367,ENSG00000102962,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl24,56221,ENSMUSG00000004814,CCL24,6369,ENSG00000106178,M5932,"","","","",Genes defining inflammatory response.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl5,20304,ENSMUSG00000035042,CCL5,6352,ENSG00000271503,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|HGNC|HomoloGene|Inparanoid|NCBI|Panther|PhylomeDB,7
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccl7,20306,ENSMUSG00000035373,CCL7,6354,ENSG00000108688,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|OMA|OrthoDB|Panther|PhylomeDB|Treefam,8
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccr7,12775,ENSMUSG00000037944,CCR7,1236,ENSG00000126353,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Ccrl2,54199,ENSMUSG00000043953,CCRL2,9034,ENSG00000121797,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd14,12475,ENSMUSG00000051439,CD14,929,ENSG00000170458,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd40,21939,ENSMUSG00000017652,CD40,958,ENSG00000101017,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd48,12506,ENSMUSG00000015355,CD48,962,ENSG00000117091,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd55,13136,ENSMUSG00000026399,CD55,1604,ENSG00000196352,M5932,"","","","",Genes defining inflammatory response.,10090,Ensembl|HGNC|HomoloGene|OMA|OrthoDB|OrthoMCL|PhylomeDB|Treefam,8
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd55b,13137,ENSMUSG00000026401,CD55,1604,ENSG00000196352,M5932,"","","","",Genes defining inflammatory response.,10090,Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Treefam,8
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd69,12515,ENSMUSG00000030156,CD69,969,ENSG00000110848,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd70,21948,ENSMUSG00000019489,CD70,970,ENSG00000125726,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cd82,12521,ENSMUSG00000027215,CD82,3732,ENSG00000085117,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cdkn1a,12575,ENSMUSG00000023067,CDKN1A,1026,ENSG00000124762,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Chst2,54371,ENSMUSG00000033350,CHST2,9435,ENSG00000175040,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Clec5a,23845,ENSMUSG00000029915,CLEC5A,23601,ENSG00000258227,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cmklr1,14747,ENSMUSG00000042190,CMKLR1,1240,ENSG00000174600,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Csf1,12977,ENSMUSG00000014599,CSF1,1435,ENSG00000184371,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Csf3,12985,ENSMUSG00000038067,CSF3,1440,ENSG00000108342,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Csf3r,12986,ENSMUSG00000028859,CSF3R,1441,ENSG00000119535,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cx3cl1,20312,ENSMUSG00000031778,CX3CL1,6376,ENSG00000006210,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
H,"",HALLMARK_INFLAMMATORY_RESPONSE,Cxcl10,15945,ENSMUSG00000034855,CXCL10,3627,ENSG00000169245,M5932,"","","","",Genes defining inflammatory response.,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
